Train Size,Dataset,Level,Taxon,Training_Leaves_Count,Model_Path,Accuracy,Cross_Val_Accuracy,AUROC,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Average_Precision,Order
10,focal,Order,Herellevirales,10,models/Order_bg/Herellevirales.pkl,0.9974489795918368,0.9916666666666668,1.0,0.9973787680209698,1.0,0.9986876640419948,1.0,0.9130434782608696,0.9545454545454544,1.0,
10,focal,Order,Hungamungavirales,10,models/Order_bg/Hungamungavirales.pkl,1.0,0.9966666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Iklwavirales,10,models/Order_bg/Iklwavirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Kilijvirales,10,models/Order_bg/Kilijvirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Mambelevirales,10,models/Order_bg/Mambelevirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Mesyanzhinovvirales_1,10,models/Order_bg/Mesyanzhinovvirales_1.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Orlajensenvirales,10,models/Order_bg/Orlajensenvirales.pkl,1.0,0.9966666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Pantevenvirales,10,models/Order_bg/Pantevenvirales.pkl,0.9272959183673468,0.9883333333333332,1.0,0.9226594301221168,1.0,0.9597741707833451,1.0,0.4519230769230769,0.6225165562913908,1.0,
10,focal,Order,Peduovirales,10,models/Order_bg/Peduovirales.pkl,0.9834183673469388,0.99,0.9989723320158104,0.983160621761658,1.0,0.991508817766166,1.0,0.48,0.6486486486486487,0.9762707986432316,
10,focal,Order,Pigervirales,10,models/Order_bg/Pigervirales.pkl,0.9974489795918368,0.99,0.9846153846153848,0.9974424552429668,1.0,0.998719590268886,1.0,0.5,0.6666666666666666,0.7635135135135135,
10,focal,Order,Pilumvirales,10,models/Order_bg/Pilumvirales.pkl,0.9834183673469388,0.9916666666666668,0.9939144736842104,0.9831824062095732,1.0,0.9915198956294846,1.0,0.4583333333333333,0.6285714285714286,0.9368686868686869,
10,focal,Order,Pungovirales,10,models/Order_bg/Pungovirales.pkl,0.9987244897959184,0.9833333333333332,0.9997432605905006,0.9987179487179488,1.0,0.9993585631815266,1.0,0.8,0.888888888888889,0.9666666666666668,
10,focal,Order,Rountreevirales_1,10,models/Order_bg/Rountreevirales.pkl,0.9974489795918368,0.97,1.0,1.0,0.9974160206718348,0.998706338939198,0.8333333333333334,1.0,0.9090909090909092,1.0,Rountreevirales_1
10,focal,Order,Rountreevirales_2,10,models/Order_bg/Rountreevirales_2.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Salasmavirales,10,models/Order_bg/Salasmavirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Schitovirales,10,models/Order_bg/Schitovirales.pkl,0.9948979591836736,0.9966666666666668,1.0,0.9947848761408083,1.0,0.9973856209150326,1.0,0.8095238095238095,0.8947368421052632,1.0000000000000002,
10,focal,Order,Shotelvirales,10,models/Order_bg/Shotelvirales.pkl,0.9987244897959184,1.0,0.9997432605905008,0.9987179487179488,1.0,0.9993585631815266,1.0,0.8,0.888888888888889,0.9666666666666666,
