Rank,Taxa,Num Members,LCA Size,Monophyletic,Precision
Genus,Erskinevirus,2,2,True,1.0
Genus,Chiangmaivirus,2,2,True,1.0
Genus,Agricanvirus,6,6,True,1.0
Genus,Tidunavirus,2,2,True,1.0
Genus,Aphroditevirus,4,4,True,1.0
Genus,Yushanvirus,2,2,True,1.0
Genus,Suwonvirus,2,2,True,1.0
Genus,Bastillevirus,4,4,True,1.0
Genus,Agatevirus,4,4,True,1.0
Genus,Caeruleovirus,6,6,True,1.0
Genus,Tybeckvirus,2,2,True,1.0
Genus,Abidjanvirus,4,4,True,1.0
Genus,Cepunavirus,2,2,True,1.0
Genus,Vellamovirus,2,2,True,1.0
Genus,Shandvirus,2,2,True,1.0
Genus,Ronodorvirus,2,2,True,1.0
Genus,Nereusvirus,2,2,True,1.0
Genus,Neptunevirus,2,2,True,1.0
Genus,Leucotheavirus,2,2,True,1.0
Genus,Yuavirus,5,5,True,1.0
Genus,Brizovirus,3,3,True,1.0
Genus,Acadevirus,4,4,True,1.0
Genus,Vojvodinavirus,4,4,True,1.0
Genus,Atlauavirus,3,3,True,1.0
Genus,Harbinvirus,5,5,True,1.0
Genus,Schiekvirus,3,3,True,1.0
Genus,Tsarbombavirus,3,3,True,1.0
Genus,Sepunavirus,2,2,True,1.0
Genus,Wphvirus,6,6,True,1.0
Genus,Kayvirus,25,25,True,1.0
Genus,Baoshanvirus,2,2,True,1.0
Genus,Siminovitchvirus,3,3,True,1.0
Genus,Silviavirus,4,4,True,1.0
Genus,Okubovirus,2,2,True,1.0
Genus,Tequintavirus,34,35,False,0.971
Genus,Benedictvirus,14,15,False,0.933
Genus,Beenievirus,10,11,False,0.909
Genus,Mosigvirus,13,15,False,0.867
Genus,Eganvirus,6,7,False,0.857
Genus,Tequatrovirus,83,97,False,0.856
Genus,Anayavirus,28,33,False,0.848
Genus,Pankowvirus,5,6,False,0.833
Genus,Carltongylesvirus,4,5,False,0.8
Genus,Salasvirus,4,5,False,0.8
Genus,Nerthusvirus,3,4,False,0.75
Genus,Mechnikovvirus,3,4,False,0.75
Genus,Siovirus,3,4,False,0.75
Genus,Schizotequatrovirus,3,4,False,0.75
Genus,Baxterfoxvirus,3,4,False,0.75
Genus,Baltivirus,3,4,False,0.75
Genus,Kuttervirus,40,55,False,0.727
Genus,Mooglevirus,5,7,False,0.714
Genus,Felsduovirus,2,3,False,0.667
Genus,Aresaunavirus,2,3,False,0.667
Genus,Nitunavirus,2,3,False,0.667
Genus,Grutrevirus,2,3,False,0.667
Genus,Gustavvirus,2,3,False,0.667
Genus,Kojivirus,2,3,False,0.667
Genus,Akonivirus,2,3,False,0.667
Genus,Kehishuvirus,2,3,False,0.667
Genus,Elveevirus,2,3,False,0.667
Genus,Acanvirus,4,6,False,0.667
Genus,Richievirus,2,3,False,0.667
Genus,Murrayvirus,2,3,False,0.667
Genus,Potamoivirus,2,3,False,0.667
Genus,Refugevirus,2,3,False,0.667
Genus,Kwaitsingvirus,2,3,False,0.667
Genus,Jerseyvirus,13,20,False,0.65
Genus,Vectrevirus,9,14,False,0.643
Genus,Buchavirus,8,13,False,0.615
Genus,Manuelvirus,3,5,False,0.6
Genus,Kochikohdavirus,4,7,False,0.571
Genus,Epseptimavirus,37,71,False,0.521
Genus,Sircambvirus,2,4,False,0.5
Genus,Tinduovirus,2,4,False,0.5
Genus,Chalconvirus,2,4,False,0.5
Genus,Pharaohvirus,2,4,False,0.5
Genus,Jouyvirus,3,6,False,0.5
Genus,Tinytimothyvirus,2,4,False,0.5
Genus,Sortsnevirus,2,4,False,0.5
Genus,Cinqassovirus,2,4,False,0.5
Genus,Rogunavirus,9,19,False,0.474
Genus,Skatevirus,7,15,False,0.467
Genus,Pifdecavirus,3,7,False,0.429
Genus,Janusvirus,3,7,False,0.429
Genus,Beecentumtrevirus,3,7,False,0.429
Genus,Muminvirus,5,12,False,0.417
Genus,Badaztecvirus,2,5,False,0.4
Genus,Ghunavirus,7,19,False,0.368
Genus,Caelumvirus,5,15,False,0.333
Genus,Rodentiumvirus,2,6,False,0.333
Genus,Bongovirus,2,6,False,0.333
Genus,Loudonvirus,2,6,False,0.333
Genus,Manhattanvirus,5,16,False,0.312
Genus,Emperorvirus,2,7,False,0.286
Genus,Marienburgvirus,2,7,False,0.286
Genus,Cohcovirus,2,7,False,0.286
Genus,Hanrivervirus,13,46,False,0.283
Genus,Fromanvirus,39,139,False,0.281
Genus,Phietavirus,30,111,False,0.27
Genus,Aptresvirus,2,8,False,0.25
Genus,Omarvirus,4,17,False,0.235
Genus,Saikungvirus,2,9,False,0.222
Genus,Aerosvirus,3,15,False,0.2
Genus,Przondovirus,29,164,False,0.177
Genus,Hennigervirus,3,19,False,0.158
Genus,Tunavirus,16,113,False,0.142
Genus,Shamshuipovirus,2,16,False,0.125
Genus,Segzyvirus,2,16,False,0.125
Genus,Macdonaldcampvirus,2,18,False,0.111
Genus,Sentinelvirus,2,19,False,0.105
Genus,Tlsvirus,10,112,False,0.089
Genus,Redjacvirus,3,43,False,0.07
Genus,Microwolfvirus,7,114,False,0.061
Genus,Dolusvirus,2,104,False,0.019
