rank,clade,n,intra_avg_euclidean,intra_median_euclidean,intra_std_euclidean,intra_min_euclidean,intra_max_euclidean,intra_avg_shared_proteins,intra_median_shared_proteins,intra_std_shared_proteins,intra_min_shared_proteins,intra_max_shared_proteins
Order,Bolasvirales,35,4.923584888695354,4.898979485566356,0.6327152997466096,2.6457513110645907,6.928203230275509,0.49721250036325254,0.5,0.10988488721672468,0.12765957446808507,0.8285714285714285
Order,Kestrosvirales,7,6.481147781126444,5.656854249492381,1.6019213497011413,4.898979485566356,9.486832980505138,0.4980891515466367,0.5972222222222222,0.20362421741518713,0.15909090909090906,0.6857142857142857
Order,Sarissavirales,6,5.843473469296203,5.0,1.409663487136105,4.47213595499958,8.12403840463596,0.4705873453233475,0.5901639344262295,0.20642547728960384,0.16666666666666663,0.6607142857142857
Order,Axehammervirales,3,6.145358237083268,7.211102550927978,1.7033023233059654,3.7416573867739413,7.483314773547883,0.3345650192311968,0.1636363636363637,0.2601178091029928,0.13793103448275867,0.7021276595744681
Order,Gatlingvirales,3,5.654043983932126,6.244997998398398,0.8357351819970293,4.47213595499958,6.244997998398398,0.28523068523068523,0.18181818181818177,0.18161320949920676,0.1333333333333333,0.5405405405405406
Order,Bombardvirales,71,9.299459068569558,9.38083151964686,1.1268359335476656,3.3166247903554,11.832159566199232,0.2001650569288928,0.16249999999999998,0.1123923018783403,0.051094890510948954,0.8493150684931507
Order,Tantovirales,2,6.4031242374328485,6.4031242374328485,0.0,6.4031242374328485,6.4031242374328485,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337
Order,Bovirales,2,6.557438524302,6.557438524302,0.0,6.557438524302,6.557438524302,0.20370370370370372,0.20370370370370372,0.0,0.20370370370370372,0.20370370370370372
Order,Madisavirales,6,7.528224416768187,7.483314773547883,0.7697426826167079,6.4031242374328485,9.1104335791443,0.1667909260918077,0.15094339622641506,0.059446555587781134,0.08695652173913049,0.31481481481481477
Order,Ekuvirales,29,8.587874164711927,8.54400374531753,1.3361748178592907,4.47213595499958,10.862780491200215,0.31248907133698717,0.3022044573643411,0.14363774601831747,0.06796116504854366,0.7164179104477613
